112,01-07-2020,India,585493,220114,220114,347979,17400
113,02-07-2020,India,604641,226947,447061,359860,17834
114,03-07-2020,India,625544,227439,674500,379892,18213
115,04-07-2020,India,648315,235433,909933,394227,18655
116,05-07-2020,India,673165,244814,1154747,409083,19268
117,06-07-2020,India,697413,253287,1408034,424433,19693
118,07-07-2020,India,719665,259557,1667591,439948,20160
119,08-07-2020,India,742417,264944,1932535,456831,20642
120,09-07-2020,India,767296,269789,2202324,476378,21129
121,10-07-2020,India,793802,276685,2479009,495513,21604
122,11-07-2020,India,820916,283407,2762416,515386,22123
123,12-07-2020,India,849553,292258,3054674,534621,22674
124,13-07-2020,India,878254,301609,3356283,553471,23174
125,14-07-2020,India,906752,311565,3667848,571460,23727
126,15-07-2020,India,936181,319840,3987688,592032,24309
127,16-07-2020,India,968876,331146,4318834,612815,24915
128,17-07-2020,India,1003832,342473,4661307,635757,25602
129,18-07-2020,India,1038716,358692,5019999,653751,26273
130,19-07-2020,India,1077618,373379,5393378,677423,26816
131,20-07-2020,India,1118043,390459,5783837,700087,27497
132,21-07-2020,India,1155191,402529,6186366,724578,28084
133,22-07-2020,India,1192915,411133,6597499,753050,28732
134,23-07-2020,India,1238635,426167,7023666,782607,29861
135,24-07-2020,India,1287945,440135,7463801,817209,30601
136,25-07-2020,India,1336861,456071,7919872,849432,31358
137,26-07-2020,India,1385522,467882,8387754,885577,32063
138,27-07-2020,India,1435453,485114,8872868,917568,32771
139,28-07-2020,India,1483156,496988,9369856,952743,33425
140,29-07-2020,India,1531669,509447,9879303,988029,34193
141,30-07-2020,India,1583792,528242,10407545,1020582,34968
142,31-07-2020,India,1638870,545318,10952863,1057805,35747
