1,12-03-2020,India,74,71,3,0
2,13-03-2020,India,75,71,3,1
3,14-03-2020,India,84,72,10,2
4,15-03-2020,India,107,95,10,2
5,16-03-2020,India,114,99,13,2
6,17-03-2020,India,137,120,14,3
7,18-03-2020,India,146,129,14,3
8,19-03-2020,India,166,148,15,3
9,20-03-2020,India,195,171,20,4
10,21-03-2020,India,258,231,23,4
11,22-03-2020,India,360,329,24,7
12,23-03-2020,India,433,402,24,7
13,24-03-2020,India,492,446,37,9
14,25-03-2020,India,519,469,40,10
15,26-03-2020,India,649,593,43,13
16,27-03-2020,India,724,640,67,17
17,28-03-2020,India,909,810,80,19
18,29-03-2020,India,979,867,87,25
19,30-03-2020,India,1071,942,100,29
20,31-03-2020,India,1397,1238,124,35
21,01-04-2020,India,1637,1466,133,38
22,02-04-2020,India,1965,1764,151,50
23,03-04-2020,India,2301,2088,157,56
24,04-04-2020,India,2902,2650,184,68
25,05-04-2020,India,3374,3030,267,77
26,06-04-2020,India,4067,3666,292,109
27,07-04-2020,India,4421,3981,326,114
28,08-04-2020,India,5194,4643,402,149
29,09-04-2020,India,5734,5095,473,166
30,10-04-2020,India,6412,5709,504,199
31,11-04-2020,India,7447,6565,643,239
32,12-04-2020,India,8356,7367,716,273
33,13-04-2020,India,9152,7987,857,308
34,14-04-2020,India,10363,8988,1036,339
35,15-04-2020,India,11439,9756,1306,377
36,16-04-2020,India,12380,10477,1489,414
37,17-04-2020,India,13387,11201,1749,437
38,18-04-2020,India,14378,11906,1992,480
39,19-04-2020,India,15712,12974,2231,507
40,20-04-2020,India,17265,14175,2547,543
41,21-04-2020,India,18601,14759,3252,590
42,22-04-2020,India,19984,15474,3870,640
43,23-04-2020,India,21393,16454,4258,681
44,24-04-2020,India,23077,17610,4749,718
45,25-04-2020,India,24506,18668,5063,775
46,26-04-2020,India,26496,19868,5804,824
47,27-04-2020,India,27892,20835,6185,872
48,28-04-2020,India,29435,21632,6869,934
49,29-04-2020,India,31332,22629,7696,1007
50,30-04-2020,India,33050,23651,8325,1074
51,01-05-2020,India,35043,25007,8889,1147
52,02-05-2020,India,37336,26167,9951,1218
53,03-05-2020,India,39980,28046,10633,1301
54,04-05-2020,India,42533,29453,11707,1373
55,05-05-2020,India,46433,32138,12727,1568
56,06-05-2020,India,49390,33513,14183,1694
57,07-05-2020,India,52951,35901,15267,1783
58,08-05-2020,India,56341,37915,16540,1886
59,09-05-2020,India,59662,39834,17847,1981
60,10-05-2020,India,62939,41472,19358,2109
